ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;Bunnie_mwh; Bunnie_price 
361; 4; 1;[34.6517; -37.1708];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000]
362; 4; 2;[-0.1428; 26.4697];[0.0000; 0.0000];[0.0000; 0.0000];[24.8044; -26.4697];[-0.0772; 26.4697]
363; 4; 3;[-0.1679; 28.5449];[0.0000; 0.0000];[0.0000; 0.0000];[26.4188; -28.5449];[-0.1392; 28.5449]
364; 4; 4;[-0.1487; 21.2779];[0.0000; 0.0000];[0.0000; 0.0000];[13.5139; -30.5321];[46.8130; -31.1130]
365; 4; 5;[-0.1465; 11.1243];[0.0000; 0.0000];[0.0000; 0.0000];[14.7931; -27.0383];[52.6997; -28.9435]
366; 4; 6;[-0.2317; -5190.9867];[0.0000; 0.0000];[0.0000; 0.0000];[22.5780; -20.4196];[30.6634; -7.2621]
367; 4; 7;[-0.6211; 18.6398];[0.0000; 0.0000];[0.0000; 0.0000];[21.5273; -48.2245];[3.9050; -13.5896]
368; 4; 8;[-1.0516; 15.6720];[0.0000; 0.0000];[0.0000; 0.0000];[22.8413; -42.5523];[8.2421; -24.6503]
369; 4; 9;[-1.5565; 27.8649];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[8.9065; -29.3337]
370; 4; 10;[-3.7060; 26.9187];[0.0000; 0.0000];[0.0000; 0.0000];[25.6842; -55.8299];[16.9556; -25.0977]
371; 4; 11;[-3.9704; 25.7753];[0.0000; 0.0000];[0.0000; 0.0000];[25.3490; -41.7872];[11.1272; -30.5494]
372; 4; 12;[-3.9751; 18.6128];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[16.5150; -27.2879]
373; 4; 13;[-3.6893; 29.0652];[0.0000; 0.0000];[0.0000; 0.0000];[4.4982; -40.5510];[12.9252; -31.7350]
374; 4; 14;[-3.0761; 25.8737];[0.0000; 0.0000];[0.0000; 0.0000];[34.3238; -47.1288];[24.4110; -32.3661]
375; 4; 15;[-2.5000; 25.3458];[0.0000; 0.0000];[0.0000; 0.0000];[34.3023; -25.0905];[36.2352; -46.0692]
376; 4; 16;[-1.3146; 25.8796];[0.0000; 0.0000];[0.0000; 0.0000];[34.3450; -44.5542];[31.6242; -35.8238]
377; 4; 17;[-0.2662; 25.0521];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[20.7490; -34.7195]
378; 4; 18;[-0.1157; 45.4604];[0.0000; 0.0000];[0.0000; 0.0000];[19.1316; -30.9003];[41.8604; -56.3459]
379; 4; 19;[-0.0834; 32.4068];[0.0000; 0.0000];[0.0000; 0.0000];[10.6851; -13.6076];[40.0052; -48.5656]
380; 4; 20;[-0.1655; 46.6137];[0.0000; 0.0000];[0.0000; 0.0000];[12.3474; -10.2047];[36.0286; -68.1696]
381; 4; 21;[-0.0956; 30.4596];[0.0000; 0.0000];[0.0000; 0.0000];[11.9904; -10.3657];[33.1529; -58.9374]
382; 4; 22;[-0.1574; 40.1857];[0.0000; 0.0000];[0.0000; 0.0000];[13.0425; -17.1988];[40.9504; -53.5918]
383; 4; 23;[-0.1549; 39.8149];[0.0000; 0.0000];[0.0000; 0.0000];[10.7040; -13.6142];[40.8609; -46.9723]
384; 5; 0;[-0.0866; 28.2554];[0.0000; 0.0000];[0.0000; 0.0000];[9.9360; -11.9200];[36.6739; -32.7950]
385; 5; 1;[-0.1086; 37.3971];[0.0000; 0.0000];[0.0000; 0.0000];[8.4277; -10.8199];[33.5077; -38.5846]
386; 5; 2;[-0.0503; 34.5085];[0.0000; 0.0000];[0.0000; 0.0000];[8.1884; -20.2479];[44.1200; -31.2410]
387; 5; 3;[-0.1322; 36.5127];[0.0000; 0.0000];[0.0000; 0.0000];[5.8973; -26.7167];[48.7920; -35.3492]
388; 5; 4;[-0.1546; 30.9534];[0.0000; 0.0000];[0.0000; 0.0000];[7.5398; -41.2701];[53.0811; -32.9196]
389; 5; 5;[-0.1421; 45.7018];[0.0000; 0.0000];[0.0000; 0.0000];[11.2468; -43.7073];[45.9695; -37.3455]
390; 5; 6;[-0.3077; 32.5899];[0.0000; 0.0000];[0.0000; 0.0000];[19.8396; -41.7211];[55.1021; -38.3081]
391; 5; 7;[-1.0454; 51.5009];[0.0000; 0.0000];[0.0000; 0.0000];[2.1741; -39.7958];[13.9150; -33.1926]
392; 5; 8;[-1.8647; 45.0475];[0.0000; 0.0000];[0.0000; 0.0000];[25.7884; -48.7821];[18.4823; -31.6422]
393; 5; 9;[-2.9977; 52.0328];[0.0000; 0.0000];[0.0000; 0.0000];[4.9293; -35.8224];[16.6327; -31.9286]
394; 5; 10;[-3.7579; 51.5765];[0.0000; 0.0000];[0.0000; 0.0000];[19.3793; -46.3201];[17.6114; -32.1221]
395; 5; 11;[-3.1098; 51.8240];[0.0000; 0.0000];[0.0000; 0.0000];[15.3565; -62.1650];[26.3059; -25.6637]
396; 5; 12;[-3.8608; 38.6855];[0.0000; 0.0000];[0.0000; 0.0000];[5.0841; -11.7898];[36.6350; -39.4805]
397; 5; 13;[-3.8859; 51.8580];[0.0000; 0.0000];[0.0000; 0.0000];[5.1646; -41.6667];[18.2961; -33.0570]
398; 5; 14;[-2.6044; 37.7606];[0.0000; 0.0000];[0.0000; 0.0000];[23.1415; -39.0285];[35.7897; -41.3677]
399; 5; 15;[-1.9226; 37.3897];[0.0000; 0.0000];[0.0000; 0.0000];[30.1391; -42.6758];[43.3886; -41.4697]
400; 5; 16;[-1.0927; 47.2053];[1.2325; -25.1127];[0.0000; 0.0000];[29.9905; -31.4754];[39.4891; -44.2319]
401; 5; 17;[-0.2870; 56.6084];[0.0000; 0.0000];[0.0000; 0.0000];[3.0821; -38.1037];[22.6091; -34.8664]
402; 5; 18;[-0.1222; 42.0086];[0.6454; -14.3236];[0.0000; 0.0000];[11.8002; -36.2235];[36.0094; -46.5759]
403; 5; 19;[-0.0395; 32.2819];[0.5235; -13.3666];[0.0000; 0.0000];[9.8232; -10.8456];[33.9224; -40.3350]
404; 5; 20;[-0.0947; 32.7618];[6.7839; -33.8424];[0.0000; 0.0000];[11.8273; -21.5784];[39.1134; -38.5433]
405; 5; 21;[-0.0931; 35.3395];[7.5297; -35.0845];[0.0000; 0.0000];[12.7110; -30.4665];[36.9041; -37.6153]
406; 5; 22;[-0.0838; 32.8404];[6.8924; -34.4034];[0.0000; 0.0000];[15.7147; -31.4629];[32.3353; -38.2041]
407; 5; 23;[-0.0959; 32.1503];[6.8622; -31.2949];[0.0000; 0.0000];[16.5890; -29.5819];[32.0413; -28.1613]
