ts; dow; hod;default broker_mwh; default broker_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;AgentUDE_mwh; AgentUDE_price ;Bunnie_mwh; Bunnie_price 
361; 1; 1;[36.2162; -38.1420];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000]
362; 1; 2;[-0.1627; -7148.1830];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000]
363; 1; 3;[-0.1505; 39.2239];[0.0000; 0.0000];[0.0000; 0.0000];[30.6477; -34.1602];[-0.1604; 38.5675]
364; 1; 4;[-0.1705; -7187.0569];[0.0000; 0.0000];[0.0000; 0.0000];[38.8012; -10.6090];[0.1963; -27.2005]
365; 1; 5;[-0.2054; -5543.7070];[0.0000; 0.0000];[0.0000; 0.0000];[42.4830; -19.6289];[20.7311; -4.3906]
366; 1; 6;[-0.1930; 43.8008];[0.0000; 0.0000];[0.0000; 0.0000];[44.1633; -38.2228];[6.1005; -26.7051]
367; 1; 7;[-0.1920; 48.6246];[0.0000; 0.0000];[0.0000; 0.0000];[45.6527; -42.6044];[6.1485; -26.8154]
368; 1; 8;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[46.5464; -46.1475];[6.4951; -27.9853]
369; 1; 9;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[47.0826; -80.2265];[5.6718; -26.7821]
370; 1; 10;[-0.1015; 53.4099];[0.0000; 0.0000];[0.0000; 0.0000];[47.4044; -46.8011];[6.8030; -29.0155]
371; 1; 11;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[42.4382; -86.9664];[-0.2221; 98.2865]
372; 1; 12;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[47.7132; -47.0261];[11.9377; -30.7241]
