ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;COLDPower18_mwh; COLDPower18_price ;VidyutVanika_mwh; VidyutVanika_price ;Bunnie_mwh; Bunnie_price 
361; 6; 1;[27.2605; -19.8494];[0.0000; 0.0000];[0.0000; 0.0000];[0.1800; -19.8494];[0.0000; 0.0000]
362; 6; 2;[33.3754; -20.4066];[0.0000; 0.0000];[0.0000; 0.0000];[11.9397; -25.6145];[0.0000; 0.0000]
363; 6; 3;[38.1196; -26.7772];[5.0574; -29.9671];[0.0000; 0.0000];[13.7778; -30.2349];[0.0000; 0.0000]
364; 6; 4;[48.7234; -26.7920];[5.9285; -17.8726];[0.0000; 0.0000];[17.0544; -26.8234];[22.7785; -28.4947]
365; 6; 5;[51.1164; -26.6655];[4.7894; -32.6895];[0.0000; 0.0000];[19.3568; -32.6652];[23.4366; -33.2084]
366; 6; 6;[43.8653; -26.8268];[6.6833; -11.2352];[0.0000; 0.0000];[18.2383; -31.4867];[23.4129; -30.9344]
367; 6; 7;[0.0000; 0.0000];[6.5609; -34.9783];[0.0000; 0.0000];[22.5340; -34.2082];[21.6396; -34.9382]
368; 6; 8;[0.0000; 0.0000];[5.7572; -12.7106];[0.0000; 0.0000];[17.0170; -44.1962];[24.0875; -32.9386]
369; 6; 9;[0.0000; 0.0000];[4.2869; -5.2714];[0.0000; 0.0000];[14.1582; -55.7494];[5.9233; -5.0535]
370; 6; 10;[0.0000; 0.0000];[5.0787; -35.3944];[0.0000; 0.0000];[13.2046; -40.7585];[23.9076; -33.5115]
371; 6; 11;[0.0000; 0.0000];[5.0270; -31.3995];[0.0000; 0.0000];[13.0798; -50.5627];[22.9292; -31.3286]
372; 6; 12;[0.0000; 0.0000];[5.3610; -25.0865];[0.0000; 0.0000];[12.8082; -44.7170];[20.8057; 2.3138]
373; 6; 13;[0.0000; 0.0000];[5.9548; -17.2791];[0.0000; 0.0000];[13.4008; -7.1747];[20.8480; -0.0395]
374; 6; 14;[0.0000; 0.0000];[5.8841; -14.5786];[0.0000; 0.0000];[17.7087; -46.5829];[20.8766; -2.9933]
375; 6; 15;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[17.1219; -47.7938];[19.5416; -33.8315]
376; 6; 16;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[14.8641; -38.3773];[20.8268; -34.4128]
377; 6; 17;[0.0000; 0.0000];[5.3901; -27.1482];[0.0000; 0.0000];[18.8619; -94.3815];[20.8618; -26.7411]
378; 6; 18;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[17.9073; -93.2455];[16.6938; -35.0851]
379; 6; 19;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[16.5095; -160.9928];[11.9488; -35.4733]
380; 6; 20;[0.0000; 0.0000];[6.0427; -13.5018];[0.0000; 0.0000];[21.9501; -14.1490];[20.9450; -44.5148]
381; 6; 21;[0.0000; 0.0000];[5.1154; -6.0473];[0.0000; 0.0000];[20.1484; -8.5635];[16.2454; -27.6723]
382; 6; 22;[0.0000; 0.0000];[4.4699; -30.0903];[0.0000; 0.0000];[17.6998; -9.9976];[13.4151; -36.7197]
383; 6; 23;[0.0000; 0.0000];[4.1762; -32.7405];[0.0000; 0.0000];[15.2218; -14.9745];[11.9408; -49.7079]
384; 7; 0;[0.0000; 0.0000];[4.2814; -30.4946];[0.0000; 0.0000];[14.1785; -15.0255];[10.1265; -33.3169]
385; 7; 1;[0.0000; 0.0000];[5.8303; -23.5738];[0.0000; 0.0000];[13.9579; -12.7421];[9.7434; -40.7300]
386; 7; 2;[0.0000; 0.0000];[10.8917; -28.6994];[0.0000; 0.0000];[14.9681; -3.8638];[20.5203; -27.8140]
387; 7; 3;[0.0000; 0.0000];[14.3797; -24.7466];[0.0000; 0.0000];[17.7622; -21.9564];[21.3208; -25.2038]
388; 7; 4;[0.0000; 0.0000];[14.8153; -18.6367];[0.0000; 0.0000];[23.5701; -35.0518];[17.9638; -30.2026]
389; 7; 5;[0.0000; 0.0000];[13.3141; -18.5895];[0.0000; 0.0000];[24.2972; -24.6854];[21.6854; -33.7880]
390; 7; 6;[0.0000; 0.0000];[16.5095; -31.8204];[0.0000; 0.0000];[19.6285; -24.9653];[21.6766; -32.3276]
391; 7; 7;[0.0000; 0.0000];[14.6735; -30.2520];[0.0000; 0.0000];[24.0079; -30.6294];[21.4289; -36.3750]
392; 7; 8;[0.0000; 0.0000];[13.5191; -29.7969];[0.0000; 0.0000];[21.3978; -39.3111];[21.9789; -37.0133]
393; 7; 9;[0.0000; 0.0000];[10.0919; -31.6667];[0.0000; 0.0000];[17.2885; -45.8745];[16.0398; -33.7749]
394; 7; 10;[0.0000; 0.0000];[14.1248; -24.6419];[0.0000; 0.0000];[17.5229; -28.8403];[19.8001; -37.2577]
395; 7; 11;[0.0000; 0.0000];[5.3158; -31.6667];[0.0000; 0.0000];[16.9526; -44.7315];[18.8339; -33.4753]
396; 7; 12;[0.0000; 0.0000];[14.7792; -30.0884];[0.0000; 0.0000];[16.5777; -27.4131];[20.6895; -41.9939]
397; 7; 13;[0.0000; 0.0000];[15.8383; -3.0380];[0.0000; 0.0000];[19.5950; -71.1233];[21.4655; -14.3233]
398; 7; 14;[0.0000; 0.0000];[14.3116; -4.2120];[0.0000; 0.0000];[18.6610; -56.7159];[19.1514; -13.3375]
399; 7; 15;[0.0000; 0.0000];[13.7854; -2.3272];[0.0000; 0.0000];[18.6526; -57.9305];[20.7211; -11.4307]
400; 7; 16;[0.0000; 0.0000];[15.6590; -2.9229];[0.0000; 0.0000];[16.3269; -41.5928];[24.6681; -37.3195]
401; 7; 17;[0.0000; 0.0000];[13.9194; -9.2154];[0.0000; 0.0000];[22.3129; -42.7312];[22.5978; -37.3811]
402; 7; 18;[0.0000; 0.0000];[8.9942; -27.9390];[0.0000; 0.0000];[20.4336; -30.1975];[20.1123; -28.5752]
403; 7; 19;[0.0000; 0.0000];[7.9379; -30.4030];[0.0000; 0.0000];[20.1957; -29.8966];[16.9651; -28.1342]
404; 7; 20;[0.0000; 0.0000];[9.2589; -27.3901];[0.0000; 0.0000];[18.6062; -20.1632];[13.0828; -26.9332]
405; 7; 21;[0.0000; 0.0000];[9.0326; -22.2920];[0.0000; 0.0000];[17.8117; -29.1302];[12.6932; -26.4669]
406; 7; 22;[0.0000; 0.0000];[10.0821; -1.3823];[0.0000; 0.0000];[13.9549; -30.8912];[11.3253; -29.5907]
407; 7; 23;[0.0000; 0.0000];[8.7430; -25.7512];[0.0000; 0.0000];[12.2342; -28.6250];[11.0169; -34.0718]
408; 1; 0;[0.0000; 0.0000];[9.8386; -27.7697];[0.0000; 0.0000];[10.7848; -31.5526];[12.4452; -18.6128]
409; 1; 1;[0.0000; 0.0000];[12.3259; -30.6687];[0.0000; 0.0000];[10.6766; -27.0770];[13.5238; -25.7464]
410; 1; 2;[0.0000; 0.0000];[16.2112; -25.6131];[0.0000; 0.0000];[13.0319; -20.9539];[12.3916; -24.3884]
411; 1; 3;[0.0000; 0.0000];[15.0042; -30.0640];[0.0000; 0.0000];[15.4674; -24.2011];[14.3620; -19.9273]
412; 1; 4;[0.0000; 0.0000];[16.1355; -30.4229];[0.0000; 0.0000];[19.5618; -24.8199];[14.0336; -11.8364]
413; 1; 5;[0.0000; 0.0000];[8.0249; -2.8532];[2.3053; -7.0604];[20.6300; -30.0654];[15.5569; -17.8041]
414; 1; 6;[0.0000; 0.0000];[10.9354; -27.9965];[2.0871; -12.7733];[16.1389; -33.5377];[15.4570; -30.9401]
415; 1; 7;[0.0000; 0.0000];[8.7338; -30.1900];[1.6175; 9.0058];[20.2836; -41.2272];[16.4219; -24.3449]
416; 1; 8;[0.0000; 0.0000];[14.5386; -36.5349];[3.7797; -9.9470];[16.7863; -30.0641];[17.5267; -19.0268]
417; 1; 9;[0.0000; 0.0000];[7.2595; -28.1002];[1.4585; 33.8983];[14.2379; -40.6309];[17.4873; -25.5290]
418; 1; 10;[0.0000; 0.0000];[6.9116; -28.4717];[0.0000; 0.0000];[13.3314; -60.7032];[13.8787; -31.8174]
419; 1; 11;[0.0000; 0.0000];[5.9320; -18.8222];[-2.0658; 155.9331];[12.7996; -41.8845];[15.9206; -33.3669]
420; 1; 12;[0.0000; 0.0000];[7.3537; -27.3848];[1.9710; -24.6133];[11.7220; -44.0719];[15.4369; -33.2519]
421; 1; 13;[0.0000; 0.0000];[7.7013; -28.3402];[5.7099; -41.6638];[14.0316; -36.3261];[16.6499; -35.2305]
422; 1; 14;[0.0000; 0.0000];[6.9568; -24.9075];[0.1658; 1793.5688];[15.7132; -62.1717];[22.0141; -33.1415]
423; 1; 15;[0.0000; 0.0000];[5.8975; -24.2242];[0.0022; -37.0569];[16.3674; -60.3843];[20.8034; -28.9118]
424; 1; 16;[0.0000; 0.0000];[8.5079; -22.9821];[0.0000; 0.0000];[13.7073; -76.2876];[21.3757; -33.4779]
425; 1; 17;[0.0000; 0.0000];[8.0508; -0.0049];[0.0000; 0.0000];[20.3621; -112.9721];[21.0921; -16.9071]
426; 1; 18;[0.0000; 0.0000];[6.1520; -28.5000];[0.0000; 0.0000];[20.5294; -114.8022];[19.4327; -31.8284]
427; 1; 19;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[19.4554; -135.4347];[15.2925; -36.1205]
428; 1; 20;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[17.3961; -102.2912];[14.5039; -36.4414]
429; 1; 21;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[15.7244; -116.6125];[12.8774; -36.7686]
430; 1; 22;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[13.1874; -98.7312];[10.2930; -36.8616]
431; 1; 23;[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[11.3828; -74.8110];[15.6904; -39.9842]
