ts; dow; hod;default broker_mwh; default broker_price ;EWIIS3_mwh; EWIIS3_price ;Bunnie_mwh; Bunnie_price 
361; 3; 1;[35.5260; -46.7557];[0.0000; 0.0000];[0.0000; 0.0000]
362; 3; 2;[-0.1417; -7064.4365];[6.9818; -5.7028];[0.0000; 0.0000]
363; 3; 3;[-0.1096; 29.3866];[5.8347; -29.3866];[-0.1983; 29.3866]
364; 3; 4;[-0.1070; -15612.1555];[1.8303; 7.5491];[5.3075; -5.2500]
365; 3; 5;[-0.1030; -7644.6526];[2.3241; -10.9045];[30.3713; -16.3786]
366; 3; 6;[-0.3141; 21.9969];[5.4971; -33.3966];[1.9253; -23.0544]
367; 3; 7;[-1.3950; 16.7219];[9.1649; -46.8978];[3.0345; -16.7219]
368; 3; 8;[-2.4626; 12.3401];[4.9168; -35.9308];[3.9178; -12.0946]
369; 3; 9;[-1.6079; 24.8097];[1.5827; -33.5610];[7.3427; -19.2566]
370; 3; 10;[-1.6461; 21.2926];[2.9238; -41.3249];[6.8075; -19.3937]
371; 3; 11;[-4.0576; 20.1395];[1.9326; -35.7438];[9.9848; -25.4042]
372; 3; 12;[-4.0951; 23.5949];[2.3224; -35.3638];[8.2757; -26.1310]
373; 3; 13;[-3.6723; 19.1124];[3.3878; -39.6737];[9.5663; -24.9884]
374; 3; 14;[-2.5064; 29.8106];[0.4738; -41.6667];[11.0978; -31.0085]
375; 3; 15;[-2.4211; 28.2417];[0.4736; -40.5458];[11.2909; -31.8671]
376; 3; 16;[-1.3219; 28.1007];[2.0825; -39.6971];[9.3073; -32.7543]
377; 3; 17;[-0.3294; 30.6077];[0.0000; 0.0000];[12.0209; -34.2809]
378; 3; 18;[-0.0925; 28.3888];[0.0000; 0.0000];[11.4479; -34.7444]
379; 3; 19;[-0.0908; 27.6011];[0.0000; 0.0000];[12.8096; -35.3818]
380; 3; 20;[-0.1064; 28.8243];[3.3440; -41.6667];[12.3743; -35.7856]
381; 3; 21;[-0.1174; 24.3379];[0.0000; 0.0000];[15.0011; -29.9280]
382; 3; 22;[-0.1101; 46.8658];[12.1720; -45.7638];[40.3555; -44.4389]
383; 3; 23;[-0.1140; 45.4481];[16.4630; -11.5201];[39.2625; -53.9928]
384; 4; 0;[-0.1196; 25.5678];[11.7789; -16.3929];[36.6502; -47.2269]
385; 4; 1;[-0.1079; 42.3785];[16.4621; -21.6358];[37.2204; -42.3120]
386; 4; 2;[-0.0933; 49.6487];[8.0452; -45.8420];[55.8027; -37.9936]
387; 4; 3;[-0.1006; 37.8206];[3.0576; -41.5134];[57.4475; -37.2857]
388; 4; 4;[-0.1109; 50.5800];[5.6716; -46.4351];[9.9215; -30.0426]
389; 4; 5;[-0.0908; 52.6648];[6.7462; -47.3933];[10.0684; -29.5950]
390; 4; 6;[-0.2369; 63.6148];[5.0313; -35.3200];[8.4144; -31.1421]
391; 4; 7;[-1.0609; 91.2148];[0.8330; -39.8475];[11.1105; -30.1407]
392; 4; 8;[-1.9138; 61.9346];[0.9163; -41.6667];[10.0561; -30.8535]
393; 4; 9;[-2.5514; 61.1829];[0.8247; -35.3010];[8.9156; -31.3124]
394; 4; 10;[-3.7725; 60.8631];[0.6664; -41.6667];[8.4139; -31.6668]
395; 4; 11;[-4.1414; 60.9052];[1.3495; -41.3848];[7.7944; -32.1449]
396; 4; 12;[-3.9722; 39.2236];[0.0000; 0.0000];[10.7587; -34.2722]
397; 4; 13;[-3.7251; 61.2222];[0.0000; 0.0000];[7.1911; -32.7064]
398; 4; 14;[-3.1770; 61.1951];[0.0000; 0.0000];[5.8898; -33.5438]
399; 4; 15;[-2.4100; 60.8896];[0.0000; 0.0000];[5.6000; -33.4128]
400; 4; 16;[-1.3057; 61.0037];[0.0000; 0.0000];[11.7819; -34.7781]
401; 4; 17;[-0.3024; 53.6918];[2.0825; -38.1037];[10.6059; -35.1358]
402; 4; 18;[-0.0976; 62.4239];[2.4574; -38.9399];[9.4711; -35.4649]
403; 4; 19;[-0.0787; 54.5229];[2.4157; -39.3718];[45.1372; -43.3674]
404; 4; 20;[-0.0762; 53.1951];[6.7756; -13.0654];[40.5903; -47.6417]
405; 4; 21;[-0.1096; 47.4440];[36.2321; -45.8434];[39.4886; -44.4573]
406; 4; 22;[-0.1216; 46.9864];[23.5676; -49.5042];[36.4929; -42.8171]
407; 4; 23;[-0.1250; 45.4191];[13.9770; -43.8265];[36.1496; -48.5260]
408; 5; 0;[-0.0968; 29.9835];[3.5815; -50.7200];[45.6278; -33.2266]
409; 5; 1;[-0.1278; 28.7904];[9.6183; -35.9547];[44.5150; -31.9901]
410; 5; 2;[-0.0866; 38.7403];[4.4577; -11.3674];[50.8366; -35.9007]
411; 5; 3;[-0.1140; 36.3616];[8.4235; -43.8143];[60.8809; -37.5767]
412; 5; 4;[-0.1510; 45.4825];[13.0338; -40.5081];[46.2345; -36.6929]
413; 5; 5;[-0.0752; 46.0599];[14.5697; -44.6524];[10.8607; -31.9273]
414; 5; 6;[-0.3598; 44.3610];[21.7321; -43.5682];[9.7842; -30.3784]
415; 5; 7;[-1.4814; 53.4676];[36.5179; -48.5609];[7.9251; -32.3471]
416; 5; 8;[-2.4829; 60.8972];[6.5149; -41.3469];[7.8384; -32.8313]
417; 5; 9;[-3.2749; 46.1191];[17.7016; -42.6523];[7.2173; -31.9735]
418; 5; 10;[-3.8985; 60.3444];[2.3324; -41.6667];[16.5903; -31.6266]
419; 5; 11;[-4.0564; 101.6350];[0.0000; 0.0000];[17.3520; -32.5160]
420; 5; 12;[-4.0192; 53.1877];[0.0000; 0.0000];[16.9127; -32.9054]
421; 5; 13;[-3.8451; 53.3922];[20.7860; -48.0931];[15.2117; -33.3615]
422; 5; 14;[-3.1929; 53.5887];[20.0110; -49.3766];[11.9537; -33.8581]
423; 5; 15;[-2.4576; 53.3533];[0.0000; 0.0000];[12.9725; -34.0834]
424; 5; 16;[-1.3438; 60.5775];[3.0821; -38.7726];[9.2959; -34.5274]
425; 5; 17;[-0.3443; 52.9397];[19.5928; -48.9711];[12.3404; -34.9909]
426; 5; 18;[-0.1356; 41.0829];[8.2880; -17.5814];[43.0492; -42.1851]
