game;timeslot;broker;netDemand;mktQty;mktCost;imbalance;imbalanceCost;mktImbCost;estCost
PowerTAC_2018_Finals_245;360;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_245;360;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_245;360;default broker;-35657.548;0.000;0.000;-35657.548;-6620.093;-0.000;-0.000
PowerTAC_2018_Finals_245;361;CrocodileAgent;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_245;361;Bunnie;0.000;0.000;0.000;0.000;0.000;0.000;0.000
PowerTAC_2018_Finals_245;361;default broker;-33317.158;32548.907;-752.120;-768.251;-36.095;-14.794;-0.000
PowerTAC_2018_Finals_245;362;CrocodileAgent;-17987.000;0.000;0.000;-17987.000;-1860.155;-423.691;-423.691
PowerTAC_2018_Finals_245;362;Bunnie;-45138.681;-64.248;-0.580;-45202.929;-4674.735;-1064.774;-1064.774
PowerTAC_2018_Finals_245;362;default broker;214.720;-131.717;-995.941;83.003;8.584;1.955;0.000
PowerTAC_2018_Finals_245;363;CrocodileAgent;-14080.720;12386.175;-130.605;-1694.545;-159.532;-37.099;-37.099
PowerTAC_2018_Finals_245;363;Bunnie;-46227.135;-31.976;-0.333;-46259.111;-4355.039;-1012.756;-1012.756
PowerTAC_2018_Finals_245;363;default broker;0.000;-215.274;-1103.602;-215.274;-20.267;-4.713;-4.713
PowerTAC_2018_Finals_245;364;CrocodileAgent;-17576.210;16572.433;-193.112;-1003.777;1.193;5.335;-27.494
PowerTAC_2018_Finals_245;364;Bunnie;-37289.837;45309.330;-1304.422;8019.493;-9.534;-42.623;0.000
PowerTAC_2018_Finals_245;364;default broker;0.000;-143.137;-1506.683;-143.137;0.170;0.761;-3.921
PowerTAC_2018_Finals_245;365;CrocodileAgent;-18157.760;14261.007;-263.567;-3896.753;-272.788;-116.667;-116.667
PowerTAC_2018_Finals_245;365;Bunnie;-49276.443;46186.751;-1443.195;-3089.693;-216.291;-92.504;-92.504
PowerTAC_2018_Finals_245;365;default broker;0.000;-144.527;-2988.682;-144.526;-10.117;-4.327;-4.327
PowerTAC_2018_Finals_245;366;CrocodileAgent;-18771.940;16427.231;-504.600;-2344.709;-192.299;-77.537;-21.102
PowerTAC_2018_Finals_245;366;Bunnie;-51185.788;42242.556;-1509.201;-8943.231;-733.470;-295.741;-295.741
PowerTAC_2018_Finals_245;366;default broker;268.220;-354.460;-12.519;-86.240;-7.073;-2.852;-0.776
PowerTAC_2018_Finals_245;367;CrocodileAgent;-20791.420;18582.274;-632.841;-2209.146;-227.914;-81.999;-81.999
PowerTAC_2018_Finals_245;367;Bunnie;-50270.306;39565.787;-1506.629;-10704.519;-1104.366;-397.331;-397.331
PowerTAC_2018_Finals_245;367;default broker;299.480;-1470.553;-50.373;-1171.073;-120.817;-43.468;-43.468
PowerTAC_2018_Finals_245;368;CrocodileAgent;-11538.100;13866.232;-501.342;2328.132;233.268;90.151;0.000
PowerTAC_2018_Finals_245;368;Bunnie;-47466.319;39113.859;-1568.806;-8352.460;-836.877;-323.427;-323.427
PowerTAC_2018_Finals_245;368;default broker;642.480;-1879.642;-125.400;-1237.162;-123.958;-47.906;-47.906
PowerTAC_2018_Finals_245;369;CrocodileAgent;-12060.129;14622.467;-529.917;2562.338;352.812;99.733;0.000
PowerTAC_2018_Finals_245;369;Bunnie;-46205.341;842.663;-28.163;-45362.678;-6246.056;-1765.636;-1765.636
PowerTAC_2018_Finals_245;369;default broker;575.856;-2436.544;-110.986;-1860.689;-256.201;-72.423;-72.423
PowerTAC_2018_Finals_245;370;CrocodileAgent;-13256.370;445.183;-13.714;-12811.187;-2091.356;-585.853;-585.853
PowerTAC_2018_Finals_245;370;Bunnie;-40619.090;746.634;-26.308;-39872.456;-6508.960;-1823.359;-1823.359
PowerTAC_2018_Finals_245;370;default broker;656.510;-1465.910;-87.952;-809.400;-132.130;-37.014;-37.014
PowerTAC_2018_Finals_245;371;CrocodileAgent;-13697.471;2231.420;-65.125;-11466.051;-1835.537;-507.311;-507.311
PowerTAC_2018_Finals_245;371;Bunnie;-42298.714;1547.080;-50.144;-40751.633;-6523.705;-1803.042;-1803.042
PowerTAC_2018_Finals_245;371;default broker;772.350;-2673.202;-154.267;-1900.852;-304.297;-84.103;-84.103
PowerTAC_2018_Finals_245;372;CrocodileAgent;-12004.758;13302.338;-464.544;1297.579;-3.868;-9.157;0.000
PowerTAC_2018_Finals_245;372;Bunnie;-43190.210;47008.895;-2106.438;3818.685;-11.384;-26.948;0.000
