ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;Bunnie_mwh; Bunnie_price 
361; 7; 1;[32.5489; -23.1074];[0.0000; 0.0000];[0.0000; 0.0000]
362; 7; 2;[-0.1317; -2868.1031];[0.0000; 0.0000];[-0.0642; 9.0346]
363; 7; 3;[-0.2153; -1605.3179];[12.3862; -10.5444];[-0.0320; 10.4087]
364; 7; 4;[-0.1431; -4136.7969];[16.5724; -11.6526];[45.3093; -28.7725]
365; 7; 5;[-0.1445; 372.5561];[14.2610; -18.4817];[46.1868; -31.2208]
366; 7; 6;[-0.3545; 35.3199];[16.4272; -30.7173];[42.2426; -33.9236]
367; 7; 7;[-1.4706; 34.2546];[18.5823; -34.0561];[39.5658; -36.1347]
368; 7; 8;[-1.8796; 32.7497];[13.8662; -36.1556];[39.1139; -38.1889]
369; 7; 9;[-2.4365; 16.7038];[14.6225; -36.2399];[0.8427; -31.3005]
370; 7; 10;[-1.4659; 24.5646];[0.4452; -30.8056];[0.7466; -31.3745]
371; 7; 11;[-2.6732; 22.7266];[2.2314; -29.1856];[1.5471; -32.4119]
372; 7; 12;[-1.5621; 41.7929];[13.3023; -34.9220];[47.0089; -38.3002]
373; 7; 13;[-1.4480; 23.0839];[4.3713; -27.9331];[1.4441; -62.6053]
374; 7; 14;[-1.6176; 27.8156];[3.3074; -19.9957];[2.1810; -62.5481]
375; 7; 15;[-1.0672; 39.2248];[12.6853; -36.0191];[48.0954; -40.1419]
376; 7; 16;[-1.3775; 40.2577];[14.1492; -36.6112];[40.8055; -48.7883]
377; 7; 17;[-0.3012; 35.1678];[2.4283; -19.9957];[40.2831; -42.6912]
378; 7; 18;[-0.0914; 58.9973];[0.0000; 0.0000];[2.4301; -36.3969]
379; 7; 19;[-0.0958; 61.9449];[6.2941; -19.9509];[54.9399; -50.6056]
380; 7; 20;[-0.0954; 38.6197];[5.5909; -12.2383];[54.8406; -44.8786]
381; 7; 21;[-0.0646; 38.2722];[0.0000; 0.0000];[39.3178; -43.1751]
382; 7; 22;[-0.1128; 57.0670];[9.6992; -36.1427];[54.6762; -43.8930]
383; 7; 23;[-0.0938; 56.6261];[10.4024; -31.5756];[41.8716; -46.4939]
384; 1; 0;[-0.0981; 37.8186];[10.1661; -33.0248];[36.8426; -46.9017]
385; 1; 1;[-0.0846; 62.7974];[10.4863; -31.4983];[37.5543; -45.2382]
386; 1; 2;[-0.1035; 26.7648];[11.5393; -31.6338];[44.6265; -34.8840]
387; 1; 3;[-0.0762; 23.5936];[11.4152; -31.7073];[46.4270; -35.8361]
388; 1; 4;[-0.0718; 31.7361];[15.3294; -37.3007];[9.2468; -27.1391]
389; 1; 5;[-0.0786; 31.1936];[15.3045; -31.8182];[50.7546; -35.4067]
390; 1; 6;[-0.1532; 34.9279];[21.2464; -37.3296];[8.5586; -28.2424]
391; 1; 7;[-0.5814; 47.3584];[7.0808; -30.8535];[1.9995; -33.8752]
392; 1; 8;[-1.0447; 46.5822];[6.4639; -30.2307];[3.4395; -31.7606]
393; 1; 9;[-1.3823; 66.5467];[4.6030; -31.0625];[4.4215; -21.5806]
394; 1; 10;[-1.6157; 46.2925];[5.6151; -28.3063];[3.3588; -31.7128]
395; 1; 11;[-1.6852; 45.8130];[4.1135; -26.9265];[4.8631; -31.4128]
396; 1; 12;[-1.9959; 46.5536];[5.4236; -30.5714];[5.6056; -32.7646]
397; 1; 13;[-1.8747; 51.7768];[3.9557; -31.6667];[7.2174; -32.9229]
398; 1; 14;[-1.3624; 64.0242];[0.0000; 0.0000];[11.1951; -32.9325]
399; 1; 15;[-1.0093; 77.2937];[0.0000; 0.0000];[11.3228; -33.2064]
400; 1; 16;[-0.3686; 48.7052];[0.0000; 0.0000];[46.0628; -41.5309]
401; 1; 17;[-0.1498; 48.3836];[0.0000; 0.0000];[9.8946; -34.0943]
402; 1; 18;[-0.1113; 53.8779];[0.0000; 0.0000];[11.4117; -34.6933]
403; 1; 19;[-0.1698; 56.2603];[0.0000; 0.0000];[11.7356; -34.7488]
404; 1; 20;[-0.1162; 34.1047];[0.0000; 0.0000];[26.5002; -40.6751]
405; 1; 21;[-0.0800; 41.7002];[5.1716; -17.1798];[41.7598; -45.6667]
406; 1; 22;[-0.0793; 48.6041];[5.6618; -34.2170];[39.9235; -42.1460]
407; 1; 23;[-0.0804; 40.9202];[4.6164; -20.4407];[40.5776; -45.2366]
408; 2; 0;[-0.0831; 33.2503];[5.0986; -36.2009];[42.9702; -37.6334]
409; 2; 1;[-0.0542; 32.0328];[6.8425; -30.9022];[46.7170; -34.1402]
410; 2; 2;[-0.0924; 35.2171];[5.5857; -31.2050];[51.8672; -35.6112]
411; 2; 3;[-0.0929; 35.4643];[6.2093; -30.9694];[56.7658; -35.3006]
412; 2; 4;[-0.0842; 37.2787];[9.5534; -30.5024];[51.2560; -34.5609]
413; 2; 5;[-0.0947; 35.8139];[6.7758; -37.1117];[17.3855; -29.4770]
414; 2; 6;[-0.1307; 47.9687];[6.7673; -29.4072];[14.0838; -30.8709]
415; 2; 7;[-0.2691; 104.3902];[6.0594; -30.3625];[18.2783; -30.5355]
416; 2; 8;[-0.4399; 52.6251];[5.1355; -30.5579];[18.4312; -30.7693]
417; 2; 9;[-2.1125; 100.5087];[4.7037; -30.7562];[15.5942; -31.3987]
418; 2; 10;[-2.4500; 51.7233];[4.1642; -30.5519];[13.9426; -31.5898]
419; 2; 11;[-0.6677; 72.8317];[3.8278; -31.3574];[12.6759; -32.0022]
420; 2; 12;[-0.6894; 73.2671];[2.4438; -31.6667];[11.2113; -32.2959]
421; 2; 13;[-0.6249; 52.2414];[2.7215; -31.6667];[14.5660; -32.7690]
422; 2; 14;[-0.5342; 51.8432];[0.0000; 0.0000];[20.0684; -33.2284]
423; 2; 15;[-1.4752; 38.9782];[3.3614; -5.4461];[49.8505; -39.4102]
424; 2; 16;[-0.2757; 39.2704];[9.0600; -35.2144];[50.7772; -42.2064]
425; 2; 17;[-0.1420; 44.4342];[0.0000; 0.0000];[32.1326; -38.2283]
426; 2; 18;[0.0000; 0.0000];[7.6772; -35.0246];[49.5385; -37.8384]
427; 2; 19;[0.0000; 0.0000];[5.6643; -25.3968];[53.7012; -39.8541]
428; 2; 20;[0.0000; 0.0000];[5.9550; -25.6322];[46.6936; -41.9940]
429; 2; 21;[-0.1065; 39.7296];[4.2751; -27.7142];[45.3780; -42.6833]
430; 2; 22;[-0.0999; 38.2334];[0.2577; -9.4500];[43.3115; -41.8144]
431; 2; 23;[-0.1053; 34.5554];[3.7547; -34.1796];[36.0282; -46.9137]
432; 3; 0;[-0.1045; 25.9743];[4.0450; -26.5848];[46.1423; -35.8076]
433; 3; 1;[-0.1170; 25.9916];[4.3127; -27.0244];[56.5736; -33.1472]
434; 3; 2;[-0.1039; 26.3480];[4.5366; -25.4876];[55.7972; -29.4376]
435; 3; 3;[-0.1059; 33.9519];[4.5584; -31.8386];[47.8176; -36.2480]
436; 3; 4;[-0.0997; 28.0066];[6.6311; -28.4021];[45.9803; -34.3217]
437; 3; 5;[-0.1025; 49.0485];[1.6233; -29.9721];[4.1963; -30.5655]
438; 3; 6;[-0.2576; 37.1216];[5.9854; -35.6179];[6.7532; -29.5220]
439; 3; 7;[-1.0239; 44.8743];[4.7738; -29.9953];[55.3832; -38.6787]
440; 3; 8;[-1.8136; 37.7053];[6.0450; -37.5706];[58.4733; -40.3754]
441; 3; 9;[-2.0751; 51.4761];[2.9679; -29.7006];[7.5088; -30.9716]
442; 3; 10;[-2.3439; 51.7886];[1.3340; -31.6667];[7.6994; -31.2564]
443; 3; 11;[-3.3362; 51.7033];[2.4096; -31.6533];[5.5575; -32.2531]
444; 3; 12;[-3.9587; 51.9093];[1.4264; -31.6667];[7.4629; -32.2068]
445; 3; 13;[-2.9358; 38.8292];[2.1632; -15.4571];[56.4461; -40.1778]
446; 3; 14;[-2.6405; 37.3736];[5.7774; -35.6440];[48.7584; -40.3146]
447; 3; 15;[-1.9250; 51.2903];[0.0000; 0.0000];[9.7731; -33.7393]
448; 3; 16;[-0.9503; 42.8349];[0.0000; 0.0000];[35.6940; -40.3140]
449; 3; 17;[-0.1328; 42.0114];[0.0000; 0.0000];[40.2926; -40.8490]
450; 3; 18;[-0.1088; 41.9564];[0.0000; 0.0000];[47.3419; -41.7292]
451; 3; 19;[-0.0984; 43.8863];[2.2273; -19.4817];[54.6239; -43.7077]
452; 3; 20;[-0.1071; 46.1372];[0.0000; 0.0000];[39.2801; -42.3687]
453; 3; 21;[-0.1253; 34.5405];[2.2643; -2.4920];[39.1607; -42.8125]
454; 3; 22;[-0.1116; 39.1865];[4.4311; -37.0234];[37.2773; -40.9710]
455; 3; 23;[-0.1382; 36.2087];[3.2911; -36.1087];[40.2564; -43.7130]
456; 4; 0;[-0.1458; 29.0584];[3.3539; -28.6975];[61.4635; -33.4076]
457; 4; 1;[-0.1441; 29.0612];[2.3923; -28.8735];[45.7165; -32.9949]
458; 4; 2;[-0.1180; 28.9780];[2.6940; -32.7124];[63.4644; -35.5482]
459; 4; 3;[-0.1054; 28.8157];[3.1586; -26.4991];[67.8870; -29.7681]
460; 4; 4;[-0.1041; 33.3893];[5.1746; -30.8295];[65.6024; -34.8188]
461; 4; 5;[-0.1224; 37.9087];[4.2009; -37.2154];[53.7269; -36.3650]
462; 4; 6;[-0.3146; 38.6964];[7.4269; -37.1808];[15.1568; -29.6101]
463; 4; 7;[-1.3441; 37.9110];[3.0417; -37.1733];[50.2071; -36.3140]
464; 4; 8;[-2.4803; 52.3672];[1.2977; -30.7044];[15.4858; -30.1862]
465; 4; 9;[-3.2611; 70.6077];[1.0346; -31.1365];[14.0118; -30.6388]
466; 4; 10;[-3.7408; 52.1034];[0.6440; -31.0088];[10.1734; -30.6855]
467; 4; 11;[-4.1262; 38.0944];[0.8815; -23.6967];[51.8253; -39.9866]
468; 4; 12;[-1.6703; 52.3201];[0.8193; -31.2869];[9.8796; -31.9627]
469; 4; 13;[-2.3085; 52.4894];[0.8842; -31.6559];[8.7448; -32.5036]
470; 4; 14;[-2.4503; 39.7529];[0.9180; -19.9957];[65.5782; -40.2938]
471; 4; 15;[-1.6289; 52.0429];[0.0000; 0.0000];[10.4395; -25.0042]
472; 4; 16;[-0.9601; 39.4171];[0.1825; -2.1095];[56.8406; -39.4141]
473; 4; 17;[-0.1771; 47.8143];[0.0000; 0.0000];[43.7350; -41.4561]
474; 4; 18;[-0.1159; 39.4548];[0.0000; 0.0000];[42.7000; -40.4567]
475; 4; 19;[-0.1477; 44.2482];[0.0000; 0.0000];[41.5672; -42.0329]
476; 4; 20;[-0.0429; 37.7370];[1.3359; -37.3972];[47.6920; -43.8449]
477; 4; 21;[-0.1177; 38.5967];[1.3249; -33.3478];[48.8492; -36.9129]
478; 4; 22;[-0.1728; 35.2521];[1.1916; -33.1853];[43.6330; -38.8235]
479; 4; 23;[-0.1025; 39.3202];[0.9045; -33.2216];[38.5311; -40.9894]
480; 5; 0;[-0.1063; 32.3425];[0.7157; -32.8145];[47.7634; -36.8498]
481; 5; 1;[-0.1162; 30.2401];[0.5005; -29.4661];[47.9176; -33.5957]
482; 5; 2;[-0.0970; 33.2489];[0.6646; -33.1069];[62.3797; -37.6509]
483; 5; 3;[-0.0825; 29.5802];[0.6017; -27.3838];[69.5064; -30.9135]
484; 5; 4;[-0.1055; 32.4645];[0.9125; -32.1712];[59.4261; -37.1211]
485; 5; 5;[-0.1094; 35.3906];[0.8244; -32.7347];[56.2657; -36.1327]
486; 5; 6;[-0.3674; 45.4554];[0.3677; -30.9041];[55.8646; -38.9563]
487; 5; 7;[-1.3578; 45.2562];[0.3548; -28.4199];[61.4609; -40.8109]
488; 5; 8;[-2.3484; 52.4976];[0.2370; -31.6667];[10.5954; -30.7436]
489; 5; 9;[-3.1603; 52.5571];[0.2353; -31.4597];[10.1391; -31.0649]
490; 5; 10;[-3.6187; 38.0708];[0.2300; -3.9450];[57.2117; -39.0605]
491; 5; 11;[-4.0729; 38.4253];[0.2774; -30.6153];[54.4551; -37.7847]
492; 5; 12;[-3.1987; 38.8996];[0.1581; -31.1944];[42.9545; -37.1030]
493; 5; 13;[-2.8281; 38.4055];[0.4200; -37.9820];[54.2128; -40.1160]
494; 5; 14;[-0.8377; 39.4809];[0.7895; -26.0491];[52.0588; -40.7671]
495; 5; 15;[-1.7571; 38.2404];[1.1178; -32.0060];[52.1947; -40.5162]
496; 5; 16;[-1.0755; 41.1588];[1.4431; -7.2857];[49.7174; -41.7057]
497; 5; 17;[-0.2850; 42.6323];[1.1261; -20.8882];[50.7113; -39.8705]
498; 5; 18;[-0.1325; 48.8097];[0.8492; -11.1295];[57.0589; -39.2044]
499; 5; 19;[-0.1432; 38.2740];[0.7435; -22.4379];[55.3499; -37.9793]
500; 5; 20;[-0.0836; 42.2257];[2.9203; -8.9343];[42.2593; -39.3303]
501; 5; 21;[-0.0947; 30.5489];[2.9697; -12.9665];[39.7554; -37.4266]
502; 5; 22;[-0.1053; 31.7866];[3.0095; -12.5201];[43.8635; -36.3833]
503; 5; 23;[-0.0997; 32.6113];[2.5687; -32.1302];[38.3915; -26.8779]
504; 6; 0;[-0.1232; 27.3651];[2.0069; -27.3428];[47.9703; -30.4275]
505; 6; 1;[-0.1046; 31.2856];[2.3856; -30.1164];[55.5045; -31.3694]
506; 6; 2;[-0.1354; 28.8431];[8.7636; -28.3523];[62.2737; -27.7948]
507; 6; 3;[-0.0600; 27.9008];[9.5294; -27.9165];[56.5337; -28.7962]
508; 6; 4;[-0.0685; 31.8041];[14.2736; -31.8144];[46.3204; -29.4937]
509; 6; 5;[-0.0608; 33.0213];[4.6105; -16.3922];[47.1896; -38.2104]
510; 6; 6;[-0.1684; 33.4294];[7.4294; -17.4980];[54.0812; -37.9563]
511; 6; 7;[-0.5339; 33.1422];[10.7822; -16.5575];[63.5996; -37.7042]
512; 6; 8;[-1.0610; 32.9873];[10.2817; -16.0904];[57.2034; -39.8928]
513; 6; 9;[-1.2298; 33.3982];[11.4469; -16.8636];[61.4766; -37.6458]
514; 6; 10;[-1.4503; 52.1558];[7.0927; -31.6667];[4.3374; -35.7658]
515; 6; 11;[-1.6803; 38.6263];[8.4726; -31.6667];[36.8451; -38.2747]
516; 6; 12;[-1.3579; 38.9974];[12.1577; -12.1598];[44.4678; -42.4310]
517; 6; 13;[-1.3420; 39.3495];[2.2962; -31.6667];[45.5725; -37.2250]
