ts; dow; hod;default broker_mwh; default broker_price ;CrocodileAgent_mwh; CrocodileAgent_price ;SPOT_mwh; SPOT_price ;COLDPower18_mwh; COLDPower18_price ;EWIIS3_mwh; EWIIS3_price ;VidyutVanika_mwh; VidyutVanika_price ;AgentUDE_mwh; AgentUDE_price ;Bunnie_mwh; Bunnie_price 
361; 5; 1;[26.5038; -19.4069];[0.0000; 0.0000];[2.7078; -19.4069];[0.0000; 0.0000];[0.0000; 0.0000];[0.1800; -19.4069];[0.0000; 0.0000];[0.0000; 0.0000]
362; 5; 2;[33.3621; -19.9946];[0.0000; 0.0000];[2.6836; -24.4386];[0.0000; 0.0000];[8.8631; -24.4386];[0.4023; -24.4386];[0.0000; 0.0000];[0.0000; 0.0000]
363; 5; 3;[40.5046; -26.1131];[0.0000; 0.0000];[0.0000; 0.0000];[0.0000; 0.0000];[6.4998; -27.5138];[0.4519; -26.7927];[17.0374; -25.8275];[0.0000; 0.0000]
364; 5; 4;[0.0000; 0.0000];[0.1812; -26.4331];[0.0000; 0.0000];[0.0000; 0.0000];[5.3673; -27.6170];[0.4982; -26.0794];[20.8708; -26.4331];[2.8829; -20.9720]
365; 5; 5;[0.0000; 0.0000];[0.2754; -34.1062];[0.0000; 0.0000];[0.0000; 0.0000];[6.1669; -32.1480];[0.6416; -33.2061];[22.8414; -32.4825];[0.0004; -9.3698]
366; 5; 6;[0.0000; 0.0000];[0.3555; -26.5150];[0.0000; 0.0000];[0.0000; 0.0000];[8.4435; -24.9820];[0.6418; -25.6034];[23.3382; -25.7536];[25.2220; -26.7197]
367; 5; 7;[0.0000; 0.0000];[0.4197; -23.2587];[0.0000; 0.0000];[0.0000; 0.0000];[11.8465; -32.6590];[0.8294; -38.9801];[23.7052; -38.4754];[0.6368; -12.4639]
368; 5; 8;[0.0000; 0.0000];[0.4152; -35.7025];[0.0000; 0.0000];[0.0000; 0.0000];[15.7199; -35.3173];[0.8520; -24.3121];[24.0033; -36.7951];[3.8021; -23.1103]
369; 5; 9;[0.0000; 0.0000];[0.3746; -36.9248];[0.0000; 0.0000];[0.0000; 0.0000];[19.2646; -37.3330];[0.8457; -11.0769];[26.1738; -36.9248];[0.5996; -12.1139]
370; 5; 10;[0.0000; 0.0000];[0.6227; -25.8589];[0.0000; 0.0000];[0.0000; 0.0000];[18.3001; -40.7547];[0.8609; -14.3063];[24.2894; -44.7379];[24.1984; -44.4199]
371; 5; 11;[0.0000; 0.0000];[0.6456; -34.2183];[0.0000; 0.0000];[0.0000; 0.0000];[15.4561; -44.0232];[0.8913; -15.5138];[21.4325; -37.2285];[25.2468; -35.6523]
372; 5; 12;[0.0000; 0.0000];[0.6617; -18.3900];[0.0000; 0.0000];[0.0000; 0.0000];[15.4207; -48.0893];[0.9083; -8.2516];[24.3925; -41.5491];[24.0055; -42.2842]
373; 5; 13;[0.0000; 0.0000];[0.6695; -27.8190];[0.0000; 0.0000];[0.0000; 0.0000];[19.9032; -14.5866];[0.9342; -17.7256];[23.1943; -35.9909];[21.3103; -41.9230]
374; 5; 14;[0.0000; 0.0000];[0.7157; -34.0183];[0.0000; 0.0000];[0.0000; 0.0000];[15.5647; -34.4952];[3.8383; -5.4750];[23.1945; -37.8671];[22.8179; -37.1204]
