ts;dow;hod;broker;ttx-sc;ttx-sd;ttx-uc;ttx-ud;mtx-c;mtx-d;btx-c;btx-d;dtx-c;dtx-d;ctx-c;ctx-d;bce-c;bce-d;bank-c;bank-d;cash
360;4;0;default broker;0,0000;0,0000;18484,4147;-2,2438;0,0000;0,0000;0,0000;-6861,8220;0,0000;-866,1700;0,0000;0,0000;0,0000;0,0000;1,3856;0,0000;10755,5645
360;4;0;CrocodileAgent;0,0000;-17543,2042;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;4;0;SPOT;0,0000;-11695,4695;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;4;0;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;4;0;EWIIS3;0,0000;-11695,4695;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;4;0;VidyutVanika;0,0000;-5847,7347;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;4;0;AgentUDE;0,0000;-11695,4695;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
360;4;0;Bunnie;0,0000;-11695,4695;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;4;1;default broker;0,0000;0,0000;20291,8868;0,0000;0,0000;-1253,5446;0,0000;-35,8209;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;29758,0708
361;4;1;CrocodileAgent;0,0000;-2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17545,2642
361;4;1;SPOT;0,0000;0,0000;0,0000;0,0000;0,0000;-103,1238;48,5272;0,0000;0,0000;-6,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-11756,1410
361;4;1;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
361;4;1;EWIIS3;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,8500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-11696,3195
361;4;1;VidyutVanika;0,0000;-226,5000;0,0000;0,0000;1,6382;-6,2251;2,1585;0,0000;0,0000;-116,3950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-6193,0582
361;4;1;AgentUDE;0,0000;-10,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-93,5500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-11799,0195
361;4;1;Bunnie;0,0000;-300,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-649,2250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-12644,6945
362;4;2;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;-1093,2981;3558,2804;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;32223,0381
362;4;2;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17545,3242
362;4;2;SPOT;4,0400;0,0000;730,7473;0,0000;0,0000;-103,3482;0,0000;-38,8426;0,0000;-6,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-11169,6194
362;4;2;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
362;4;2;EWIIS3;1,5042;0,0000;1429,7947;0,0000;0,0000;-118,0318;0,0000;-315,7950;0,0000;-0,8500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-10699,6974
362;4;2;VidyutVanika;0,0000;0,0000;107,3669;-4,3088;14,3503;-25,5383;0,0000;-6,2741;0,0000;-116,3950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-6223,8571
362;4;2;AgentUDE;0,0000;0,0000;1577,3711;0,0000;0,0000;0,0000;0,0000;-1058,2786;0,0000;-93,5500;0,0000;0,0000;0,7522;0,0000;0,0000;0,0000;-11372,7247
362;4;2;Bunnie;0,0000;0,0000;6316,6335;0,0000;0,0000;0,0000;0,0000;-4340,6882;0,0000;-649,2250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-11317,9742
363;4;3;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;-1141,7087;3440,6502;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;34521,9646
363;4;3;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17545,3842
363;4;3;SPOT;4,0400;0,0000;683,6234;0,0000;0,0000;0,0000;0,0000;-269,2757;0,0000;-6,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-10757,3067
363;4;3;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
363;4;3;EWIIS3;1,5042;0,0000;1394,2023;0,0000;4,6663;-109,1400;0,0000;-323,4235;0,0000;-0,8500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-9732,7381
363;4;3;VidyutVanika;0,0000;0,0000;115,6119;-4,6184;13,7020;-27,7866;15,0415;0,0000;0,0000;-116,3950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-6228,3017
363;4;3;AgentUDE;0,0000;0,0000;1259,0191;0,0000;0,0000;-57,1260;0,0000;-139,8455;0,0000;-93,5500;0,0000;0,0000;0,6403;0,0000;0,0000;0,0000;-10403,5867
363;4;3;Bunnie;0,0000;0,0000;6770,0013;0,0000;0,0000;0,0000;0,0000;-4129,3697;0,0000;-649,2250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-9326,5676
364;4;4;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;34521,9496
364;4;4;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17545,4442
364;4;4;SPOT;4,0400;0,0000;934,0250;0,0000;0,0000;-24,2372;0,0000;-283,7589;0,0000;-6,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-10133,3127
364;4;4;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
364;4;4;EWIIS3;1,5042;-11695,4695;1608,0494;0,0000;27,4464;-85,9684;0,0000;-514,3056;0,0000;-0,8500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8696,8621
364;4;4;VidyutVanika;0,0000;0,0000;126,7129;-4,4582;17,6403;-33,3569;23,8502;0,0000;0,0000;-116,3950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-6214,3085
364;4;4;AgentUDE;0,0000;0,0000;1669,1175;0,0000;0,0000;-297,2241;0,0000;-191,8406;0,0000;-93,5500;0,0000;0,0000;0,6793;0,0000;0,0000;0,0000;-9316,4045
364;4;4;Bunnie;0,0000;0,0000;7351,4163;0,0000;0,0000;-1523,1719;0,0000;-663,7993;0,0000;-649,2250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-4811,3475
365;4;5;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;-2084,9001;562,7044;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;32999,7389
365;4;5;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17545,5042
365;4;5;SPOT;4,0400;0,0000;1175,8414;0,0000;0,0000;-27,0415;0,0000;-37,9893;0,0000;-6,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-9024,5370
365;4;5;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
365;4;5;EWIIS3;1,5042;0,0000;1845,6612;0,0000;0,0000;-76,9017;0,0000;-62,7827;0,0000;-0,8500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-18685,7007
365;4;5;VidyutVanika;0,0000;0,0000;127,8077;0,0000;33,1523;-64,6252;1,6603;0,0000;0,0000;-116,3950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-6232,7083
365;4;5;AgentUDE;0,0000;0,0000;1932,7661;0,0000;0,0000;-383,8031;0,0000;-10,4030;0,0000;-93,5500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-7871,3946
365;4;5;Bunnie;0,0000;0,0000;6623,9660;0,0000;0,0000;-130,8982;0,0000;-411,0633;0,0000;-649,2250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;621,4320
366;4;6;default broker;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0150;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;32999,7239
366;4;6;CrocodileAgent;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17545,5642
366;4;6;SPOT;4,0400;0,0000;1477,1684;-0,7940;0,0000;-31,9289;0,0000;-806,1503;0,0000;-6,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-8388,2767
366;4;6;COLDPower18;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
366;4;6;EWIIS3;1,5042;0,0000;2136,6401;0,0000;0,0000;-177,4077;0,0000;-820,4970;0,0000;-0,8500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-17546,3111
366;4;6;VidyutVanika;0,0000;0,0000;98,4130;-5,7612;41,5437;-64,5866;58,4167;0,0000;0,0000;-116,3950;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-6221,0778
366;4;6;AgentUDE;0,0000;0,0000;2380,5475;0,0000;0,0000;-387,1699;0,0000;-245,3565;0,0000;-93,5500;0,0000;0,0000;1,3968;0,0000;0,0000;0,0000;-6215,5267
